Altium Designer Pick and Place Locations
C:\Repo\cnc_projects\LIMIT_BREAKOUT\Project Outputs for LIMIT_SW_Breakout\LIMIT_SW_Breakout_UPLOAD_GERBERS_A8\Pick Place\LIMIT_SW_Breakout_CAM_OUTPUT_A8.csv

========================================================================================================================
File Design Information:

Date:       26-04-23
Time:       17:46
Revision:   Not in VersionControl
Variant:    FULL_ASSEMBLY
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R4","2KO ±1%","TopLayer","0603_R","4187.992","708.662","90","Chip resistor"
"R3","2KO ±1%","TopLayer","0603_R","4537.402","679.134","90","Chip resistor"
"R2","100KO ±1%","TopLayer","0603_R","4163.386","1082.677","270","Chip resistor"
"R1","100KO ±1%","TopLayer","0603_R","4163.386","1633.858","270","Chip resistor"
"Q4","MMBT5401 2L","TopLayer","SOT-23(SOT-23-3)","4291.338","659.449","90","???"
"Q3","MMBT5401 2L","TopLayer","SOT-23(SOT-23-3)","4640.748","684.055","270","???"
"Q2","AO3400A N","TopLayer","SOT-23-3L","4084.646","733.268","270","MOS(????)"
"Q1","AO3400A N","TopLayer","SOT-23-3L","4429.134","659.449","90","MOS(????)"
"J23","5555799-1","TopLayer","FP-5555799-1-MFG","4448.819","323.031","0","CONN MOD JACK 8P8C VERT UNSHLD"
"R84","2KO ±1%","TopLayer","0603_R","4089.567","1633.858","90","Chip resistor"
"R83","2KO ±1%","TopLayer","0603_R","4089.567","1082.677","90","Chip resistor"
"R82","2KO ±1%","TopLayer","0603_R","4089.567","2165.354","90","Chip resistor"
"R81","2KO ±1%","TopLayer","0603_R","4089.567","2706.693","90","Chip resistor"
"R80","2KO ±1%","TopLayer","0603_R","4089.567","3243.110","90","Chip resistor"
"R79","2KO ±1%","TopLayer","0603_R","4089.567","3779.528","90","Chip resistor"
"R78","10KO ±1%","TopLayer","0603_R","4060.039","575.787","270","Chip resistor"
"J22","","TopLayer","SL_3_50_180G_03","4448.819","3682.283","0","Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"
"J21","","TopLayer","SL_3_50_180G_03","4448.819","1527.795","0","Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"
"J20","","TopLayer","SL_3_50_180G_03","4448.819","989.173","0","Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"
"J19","","TopLayer","SL_3_50_180G_03","4448.819","2066.417","0","Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"
"J18","","TopLayer","SL_3_50_180G_03","4448.819","2605.039","0","Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"
"J17","","TopLayer","SL_3_50_180G_03","4448.819","3143.661","0","Header,Male Pin,Covered(4 Sided) 3 1 0.138"(3.50mm) 3 P=3.5mm Pluggable System Terminal Block RoHS"
"D30","0603 White","TopLayer","0603_LED_S1","4089.567","1471.457","270","LED"
"D29","0603 White","TopLayer","0603_LED_S1","4089.567","925.197","270","LED"
"D28","0603 Yellow","TopLayer","0603_LED_S1","4089.567","2002.953","270","LED"
"D27","0603 Yellow","TopLayer","0603_LED_S1","4089.567","2545.079","270","LED"
"D26","0603 Yellow","TopLayer","0603_LED_S1","4089.567","3080.709","270","LED"
"D25","0603 Yellow","TopLayer","0603_LED_S1","4089.567","3622.047","270","LED"
"D24","0805 Green","TopLayer","0805_LED_S1","4060.039","398.622","270","LED"
